Segment,Region,Category,Sub-Category,Sales,Quantity,Discount,Year,Month,Quarter,DayOfWeek,Delivery_Days,Profit_Margin,Sales_Per_Quantity,Is_Discounted,High_Value_Transaction
0,0,1,7,604.656,9,0.2,2011,11,4,1,7,33.75,67.184,1,1
0,1,0,9,113.92,4,0.0,2012,12,4,3,4,37.0,28.48,0,0
0,1,2,13,136.99,1,0.0,2014,12,4,3,6,26.999999999999996,136.99,0,0
2,0,0,5,634.116,6,0.3,2011,3,1,1,4,-27.142857142857142,105.68599999999999,1,1
1,1,1,2,11.12,4,0.0,2012,7,3,4,6,26.0,2.78,0,0
2,2,1,3,189.588,2,0.7,2013,4,2,1,6,-76.66666666666666,94.794,1,0
0,3,0,16,210.008,1,0.2,2014,8,3,5,1,1.25,210.008,1,1
0,3,1,14,46.84,2,0.0,2012,10,4,2,0,27.0,23.42,0,0
0,2,2,0,83.976,3,0.2,2012,11,4,1,5,-1.25,27.992,1,0
1,0,1,12,10.368,2,0.2,2013,6,2,4,6,35.0,5.184,1,0
1,2,1,12,88.768,2,0.2,2011,10,4,6,6,35.0,44.384,1,0
0,3,2,13,703.968,4,0.2,2011,11,4,2,2,12.5,175.992,1,1
2,1,1,7,104.68,5,0.2,2014,12,4,1,4,33.75,20.936,1,0
0,3,2,0,45.48,4,0.0,2011,3,1,4,5,35.0,11.37,0,0
0,0,1,1,376.74,4,0.1,2013,9,3,0,4,18.888888888888893,94.185,1,1
2,1,1,3,82.344,3,0.2,2012,4,2,2,4,33.75,27.447999999999997,1,0
0,1,0,5,354.9,5,0.0,2013,3,1,6,3,25.0,70.97999999999999,0,1
0,3,1,1,1447.65,5,0.0,2012,4,2,1,4,28.999999999999996,289.53000000000003,0,1
2,1,2,0,101.34,3,0.0,2014,6,2,2,4,8.0,33.78,0,0
1,0,0,4,205.9992,3,0.32,2014,11,4,4,6,-13.23529411764706,68.6664,1,0
0,3,1,1,213.92,4,0.0,2011,10,4,3,2,29.000000000000004,53.48,0,1
1,3,1,1,25.86,3,0.0,2014,1,1,5,5,26.0,8.62,0,0
0,3,2,0,82.95,5,0.0,2014,11,4,4,4,35.0,16.59,0,0
1,1,2,6,899.982,3,0.4,2014,11,4,0,5,8.333333333333334,299.99399999999997,1,1
2,0,1,3,4.47,3,0.8,2012,9,3,2,6,-175.0,1.49,1,0
0,3,1,1,76.12,2,0.0,2014,11,4,3,4,28.999999999999996,38.06,0,0
0,0,1,2,75.96,2,0.0,2013,11,4,0,7,30.000000000000004,37.98,0,0
0,0,1,12,10.368,2,0.2,2013,6,2,5,4,35.0,5.184,1,0
0,1,1,2,13.36,2,0.0,2011,6,2,0,3,37.0,6.68,0,0
1,0,2,0,95.968,4,0.2,2013,11,4,1,6,1.25,23.992,1,0
1,2,1,3,91.68,3,0.0,2013,11,4,2,3,50.0,30.560000000000002,0,0
2,1,2,13,275.94,6,0.0,2011,11,4,4,5,28.999999999999996,45.99,0,1
2,3,1,12,20.34,3,0.0,2014,4,2,6,5,46.0,6.78,0,0
0,0,0,9,212.94,3,0.0,2012,8,3,1,1,16.0,70.98,0,1
1,0,2,13,863.64,9,0.2,2013,7,3,1,2,12.5,95.96,1,1
1,2,1,12,41.472,8,0.2,2014,11,4,2,5,35.0,5.184,1,0
2,3,1,1,40.74,3,0.0,2014,4,2,3,4,30.0,13.58,0,0
1,1,0,9,42.408,3,0.2,2014,4,2,0,3,22.5,14.136000000000001,1,0
1,2,0,9,692.472,11,0.2,2012,11,4,0,4,27.500000000000004,62.952,1,1
0,0,1,12,10.368,2,0.2,2014,4,2,4,0,35.0,5.184,1,0
2,3,0,4,119.833,1,0.15,2011,7,3,5,5,5.882352941176471,119.833,1,0
0,2,2,13,569.64,2,0.0,2012,4,2,0,2,26.0,284.82,0,1
1,1,1,2,2.624,1,0.2,2014,12,4,2,6,16.25,2.624,1,0
1,1,0,9,282.888,9,0.2,2012,7,3,1,2,20.0,31.432,1,1
0,1,1,10,29.24,5,0.2,2014,9,3,0,4,33.75,5.848,1,0
2,3,0,9,4.95,1,0.0,2014,6,2,5,4,43.99999999999999,4.95,0,0
2,0,1,12,64.624,7,0.2,2013,8,3,4,4,35.0,9.232,1,0
0,1,1,10,5.76,2,0.0,2013,12,4,6,5,49.00000000000001,2.88,0,0
2,2,0,16,452.94,3,0.0,2014,6,2,4,7,15.0,150.98,0,1
2,1,0,9,38.97,3,0.0,2012,11,4,1,2,12.000000000000002,12.99,0,0
0,0,0,4,512.94,3,0.0,2012,3,1,3,4,18.999999999999996,170.98000000000002,0,1
0,1,1,12,25.92,4,0.0,2013,11,4,3,3,47.99999999999999,6.48,0,0
0,1,1,3,35.448,7,0.2,2011,12,4,4,5,36.25,5.064,1,0
0,2,0,9,1196.86,7,0.0,2012,4,2,0,2,10.000000000000002,170.98,0,1
1,3,2,0,159.56,4,0.0,2014,5,2,5,3,37.0,39.89,0,0
0,1,1,12,12.96,2,0.0,2013,11,4,4,7,48.99999999999999,6.48,0,0
1,0,0,5,528.43,5,0.3,2013,3,1,5,4,-27.142857142857146,105.68599999999999,1,1
2,3,1,3,23.24,5,0.2,2014,5,2,3,4,32.5,4.648,1,0
1,1,1,1,26.49,1,0.0,2013,12,4,4,7,28.000000000000004,26.49,0,0
2,3,2,0,239.97,3,0.0,2014,1,1,2,3,11.0,79.99,0,1
0,0,2,0,468.9,6,0.0,2011,2,1,2,2,44.0,78.14999999999999,0,1
1,0,1,14,61.792,4,0.2,2014,11,4,4,6,10.0,15.448,1,0
0,0,2,0,40.68,3,0.2,2014,9,3,2,4,-17.5,13.56,1,0
2,1,1,12,37.94,2,0.0,2012,5,2,1,2,48.00000000000001,18.97,0,0
0,3,0,9,79.92,4,0.0,2012,12,4,4,5,36.0,19.98,0,0
0,1,1,2,59.904,2,0.2,2012,5,2,3,4,23.75,29.952,1,0
1,0,1,2,3.9,2,0.0,2012,12,4,0,6,38.99999999999999,1.95,0,0
0,3,1,12,21.4,5,0.0,2013,9,3,0,5,47.0,4.279999999999999,0,0
0,0,2,0,1649.75,5,0.0,2013,10,4,1,5,33.0,329.95,0,1
0,0,1,3,17.904,6,0.8,2011,12,4,3,7,-175.0,2.984,1,0
1,3,1,3,19.68,5,0.2,2014,3,1,0,5,35.0,3.936,1,0
0,2,1,3,1793.98,2,0.0,2011,9,3,4,5,47.0,896.99,0,1
1,1,1,3,81.438,7,0.7,2014,10,4,0,4,-80.0,11.634,1,0
0,3,1,12,28.14,3,0.0,2014,4,2,4,5,48.0,9.38,0,0
0,3,1,3,35.808,3,0.2,2013,12,4,3,0,31.25,11.936,1,0
0,2,0,9,273.96,2,0.0,2013,11,4,2,2,26.000000000000007,136.98,0,1
1,0,1,8,15.808,8,0.2,2013,9,3,4,2,33.75,1.976,1,0
0,2,0,5,390.368,2,0.2,2014,11,4,6,4,12.5,195.184,1,1
2,0,0,5,569.058,3,0.3,2014,7,3,1,4,-31.428571428571427,189.686,1,1
2,0,1,15,21.81,3,0.0,2014,8,3,4,4,27.0,7.27,0,0
0,1,1,15,5.84,2,0.2,2013,7,3,2,5,12.5,2.92,1,0
2,2,1,10,11.696,2,0.2,2012,12,4,3,5,33.75,5.848,1,0
0,2,1,10,4.928,2,0.2,2014,11,4,2,4,35.0,2.464,1,0
0,1,1,12,17.64,4,0.0,2012,3,1,3,6,46.0,4.41,0,0
0,2,1,12,20.736,4,0.2,2014,8,3,2,5,35.0,5.184,1,0
0,0,1,10,19.824,6,0.2,2012,11,4,0,4,32.49999999999999,3.3040000000000003,1,0
0,3,1,10,88.8,6,0.0,2011,12,4,3,5,50.0,14.799999999999999,0,0
1,0,1,1,58.464,9,0.8,2014,7,3,3,3,-250.0,6.4959999999999996,1,0
1,3,1,3,4.158,7,0.7,2014,11,4,1,4,-83.33333333333333,0.5940000000000001,1,0
0,1,1,2,79.36,5,0.2,2013,5,2,4,6,12.5,15.872,1,0
0,0,2,11,287.91,3,0.4,2013,3,1,0,5,11.666666666666666,95.97000000000001,1,1
0,3,2,13,95.84,4,0.2,2014,12,4,3,2,36.24999999999999,23.96,1,0
1,0,1,14,24.816,2,0.2,2011,12,4,0,4,7.5,12.408,1,0
0,3,0,4,425.833,1,0.15,2012,10,4,2,0,4.705882352941177,425.833,1,1
0,3,0,16,515.88,6,0.0,2011,6,2,4,4,22.0,85.98,0,1
0,3,1,14,158.9,5,0.0,2011,8,3,3,5,5.0,31.78,0,0
0,3,1,10,14.73,3,0.0,2014,10,4,3,4,49.0,4.91,0,0
0,3,1,1,45.28,4,0.0,2012,11,4,2,2,34.0,11.32,0,0
1,1,1,3,107.424,9,0.2,2014,8,3,1,5,31.25,11.936,1,0
0,1,2,11,1349.85,3,0.0,2013,6,2,2,0,27.0,449.95,0,1
0,0,1,14,132.696,3,0.2,2011,6,2,4,3,7.5,44.232,1,0
0,0,0,9,15.992,2,0.6,2014,11,4,3,2,-87.5,7.996,1,0
2,0,1,12,20.736,4,0.2,2014,4,2,2,6,35.0,5.184,1,0
2,0,1,10,3.75,1,0.0,2012,8,3,4,6,48.00000000000001,3.75,0,0
1,3,0,9,14.52,3,0.0,2013,12,4,1,5,39.0,4.84,0,0
0,0,2,0,68.112,3,0.2,2013,11,4,5,6,26.25,22.703999999999997,1,0
0,3,1,14,82.368,2,0.2,2012,6,2,4,5,-23.75,41.184,1,0
2,0,1,10,23.68,2,0.2,2011,11,4,2,6,37.50000000000001,11.84,1,0
0,0,1,12,9.54,2,0.0,2012,2,1,2,3,45.00000000000001,4.77,0,0
2,0,1,12,19.648,2,0.2,2013,11,4,1,4,33.75,9.824,1,0
1,1,1,12,10.048,4,0.2,2011,10,4,1,4,31.25,2.512,1,0
1,2,2,0,239.7,6,0.0,2012,7,3,1,6,44.00000000000001,39.949999999999996,0,1
1,3,1,12,47.9,1,0.0,2013,12,4,1,7,48.00000000000001,47.9,0,0
1,0,2,13,239.976,3,0.2,2012,11,4,4,4,11.25,79.992,1,1
0,0,0,4,327.7328,2,0.32,2014,11,4,1,6,-4.411764705882353,163.8664,1,1
1,2,1,7,55.936,8,0.2,2012,12,4,1,7,33.75,6.992,1,0
0,1,1,12,143.7,3,0.0,2014,10,4,1,5,48.00000000000001,47.9,0,0
2,0,2,13,299.9,2,0.0,2012,10,4,1,2,25.0,149.95,0,1
2,2,1,14,61.68,5,0.2,2014,9,3,1,1,8.75,12.336,1,0
2,0,1,3,13.456,1,0.8,2014,10,4,2,4,-175.0,13.456,1,0
0,1,1,15,9.184,2,0.2,2014,7,3,5,5,12.5,4.592,1,0
1,3,1,12,33.4,5,0.0,2012,10,4,0,4,48.00000000000001,6.68,0,0
0,0,0,9,17.31,3,0.0,2013,12,4,0,6,30.0,5.77,0,0
2,0,1,3,32.06,2,0.0,2011,9,3,2,6,48.0,16.03,0,0
1,1,1,2,114.95,5,0.0,2013,10,4,3,4,27.999999999999996,22.990000000000002,0,0
1,1,1,2,14.7,5,0.0,2014,5,2,3,3,45.0,2.94,0,0
0,2,0,5,1067.94,3,0.0,2011,1,1,4,6,21.0,355.98,0,1
0,3,2,6,2799.96,5,0.2,2013,9,3,3,0,33.75,559.992,1,1
1,3,1,1,7.9,2,0.0,2013,12,4,4,5,25.999999999999996,3.95,0,0
0,3,2,13,806.336,8,0.2,2011,8,3,4,4,6.25,100.792,1,1
2,2,0,5,1139.92,4,0.0,2011,3,1,0,5,25.0,284.98,0,1
0,2,1,1,72.8,5,0.0,2014,3,1,1,5,27.0,14.559999999999999,0,0
0,1,1,2,155.94,6,0.0,2014,12,4,0,4,28.999999999999996,25.99,0,0
1,1,1,7,8.856,3,0.2,2014,11,4,0,4,32.5,2.952,1,0
2,0,1,12,18.54,2,0.0,2012,12,4,5,4,47.00000000000001,9.27,0,0
0,0,0,9,17.496,9,0.6,2012,11,4,1,0,-42.50000000000001,1.944,1,0
0,2,1,14,584.82,9,0.0,2013,12,4,4,2,11.999999999999998,64.98,0,1
0,0,0,5,248.43,5,0.3,2013,12,4,0,2,-7.142857142857142,49.686,1,1
2,1,2,11,52.44,4,0.0,2014,11,4,0,5,46.0,13.11,0,0
2,1,1,12,25.92,4,0.0,2014,8,3,1,5,47.99999999999999,6.48,0,0
0,3,1,3,24.448,2,0.2,2012,12,4,2,3,36.24999999999999,12.224,1,0
0,3,1,12,148.704,6,0.2,2011,9,3,5,5,31.25,24.784000000000002,1,0
1,3,1,3,35.352,9,0.2,2013,4,2,2,4,36.25,3.9279999999999995,1,0
2,2,1,15,5.552,2,0.2,2011,8,3,4,4,-18.75,2.776,1,0
1,3,2,13,49.616,2,0.2,2014,12,4,2,4,10.0,24.808,1,0
1,0,2,13,12.99,1,0.0,2013,4,2,1,6,1.9999999999999998,12.99,0,0
1,3,0,5,700.152,3,0.2,2012,7,3,0,0,11.249999999999998,233.38400000000001,1,1
0,3,1,3,27.264,2,0.2,2013,10,4,1,6,32.5,13.632,1,0
1,0,1,14,64.784,1,0.2,2012,11,4,0,6,-22.499999999999996,64.784,1,0
1,3,0,16,300.904,1,0.2,2014,5,2,0,5,3.75,300.904,1,1
1,0,1,3,17.46,2,0.0,2013,3,1,1,2,47.0,8.73,0,0
1,0,1,12,10.368,2,0.2,2011,5,2,4,2,35.0,5.184,1,0
0,0,2,13,11.992,1,0.2,2013,3,1,3,2,7.5,11.992,1,0
2,3,0,5,2676.672,9,0.2,2012,12,4,5,5,10.0,297.408,1,1
0,3,1,12,12.96,2,0.0,2012,7,3,2,2,47.99999999999999,6.48,0,0
0,1,1,3,128.4,3,0.0,2013,11,4,3,4,48.99999999999999,42.800000000000004,0,0
1,3,1,15,64.4,5,0.0,2014,5,2,3,5,2.9999999999999996,12.88,0,0
0,2,2,13,113.73,3,0.0,2011,5,2,1,5,28.999999999999996,37.910000000000004,0,0
1,2,1,7,10.2,5,0.0,2013,7,3,2,4,47.0,2.04,0,0
2,3,2,13,28.68,3,0.2,2013,12,4,3,3,-25.0,9.56,1,0
2,2,1,14,432.456,3,0.2,2013,2,1,3,4,7.499999999999998,144.15200000000002,1,1
2,2,2,13,200.97,3,0.0,2011,4,2,3,0,25.0,66.99,0,0
0,3,1,3,4.448,2,0.2,2014,7,3,1,4,32.49999999999999,2.224,1,0
1,1,1,3,7.92,4,0.0,2013,10,4,1,5,45.0,1.98,0,0
1,1,0,9,13.28,2,0.0,2011,8,3,2,2,48.0,6.64,0,0
0,2,1,8,5.67,3,0.0,2014,1,1,5,6,2.0,1.89,0,0
0,2,2,0,35.168,4,0.2,2013,9,3,0,4,23.75,8.792,1,0
1,3,0,5,279.456,6,0.2,2011,5,2,4,6,7.5,46.576,1,1
1,2,1,14,67.9,5,0.0,2013,9,3,4,5,1.0,13.580000000000002,0,0
0,2,2,0,272.61,13,0.0,2011,8,3,4,1,36.0,20.970000000000002,0,1
0,0,1,1,90.64,8,0.0,2014,2,1,4,4,43.0,11.33,0,0
0,1,0,9,102.3,1,0.0,2014,7,3,4,1,26.0,102.3,0,0
0,2,1,8,10.74,3,0.0,2013,11,4,1,0,49.0,3.58,0,0
0,1,1,12,8.448,2,0.2,2014,11,4,5,3,31.25,4.224,1,0
2,0,1,3,19.0,5,0.0,2012,7,3,3,5,47.0,3.8,0,0
2,2,1,3,15.57,3,0.7,2014,9,3,3,5,-73.33333333333333,5.19,1,0
0,1,1,12,8.56,2,0.0,2014,9,3,0,5,44.99999999999999,4.28,0,0
1,0,0,16,2678.94,6,0.0,2013,11,4,1,6,9.0,446.49,0,1
0,0,2,0,99.39,3,0.0,2014,12,4,5,3,41.0,33.13,0,0
2,1,0,5,60.74,1,0.0,2012,9,3,5,7,25.0,60.74,0,0
0,1,1,3,538.194,2,0.7,2014,9,3,2,2,-76.66666666666667,269.097,1,1
2,3,0,5,2003.92,5,0.2,2012,12,4,5,4,6.25,400.784,1,1
0,0,1,3,13.71,3,0.0,2014,9,3,3,5,48.0,4.57,0,0
1,2,1,12,78.304,2,0.2,2011,8,3,0,4,37.5,39.152,1,0
0,1,2,13,179.7,6,0.0,2013,6,2,5,6,49.0,29.95,0,0
0,0,1,12,51.84,8,0.0,2013,7,3,3,5,48.99999999999999,6.48,0,0
0,3,2,13,38.24,4,0.2,2013,6,2,1,5,-25.0,9.56,1,0
0,3,1,14,421.1,2,0.0,2014,9,3,4,4,25.0,210.55,0,1
1,2,1,12,44.96,2,0.0,2014,12,4,2,5,46.0,22.48,0,0
1,1,0,9,69.08,11,0.0,2014,10,4,4,6,42.00000000000001,6.28,0,0
0,1,1,12,19.44,3,0.0,2012,10,4,1,3,48.00000000000001,6.48,0,0
0,0,1,12,96.08,2,0.0,2012,11,4,1,4,48.00000000000001,48.04,0,0
1,1,1,2,59.52,3,0.0,2012,1,1,3,5,25.999999999999996,19.84,0,0
0,3,1,12,55.98,1,0.0,2014,12,4,1,4,49.0,55.98,0,0
1,1,2,13,728.946,9,0.4,2013,9,3,3,2,-21.666666666666664,80.994,1,1
0,1,1,14,22.58,2,0.0,2014,5,2,3,4,26.0,11.29,0,0
1,0,1,3,735.98,2,0.0,2013,10,4,3,7,44.99999999999999,367.99,0,1
0,1,2,13,220.752,8,0.4,2014,11,4,3,4,-18.333333333333336,27.594,1,1
1,0,1,3,7.98,5,0.8,2012,11,4,2,6,-165.0,1.596,1,0
0,3,1,2,14.88,2,0.0,2013,9,3,0,7,25.0,7.44,0,0
0,2,1,14,544.38,3,0.0,2014,12,4,3,4,29.000000000000004,181.46,0,1
1,3,1,12,37.94,2,0.0,2013,12,4,1,7,48.00000000000001,18.97,0,0
1,0,1,12,37.464,7,0.2,2013,6,2,4,4,32.5,5.351999999999999,1,0
1,0,2,0,151.2,3,0.2,2012,9,3,4,3,21.250000000000004,50.4,1,0
0,0,1,2,14.112,6,0.2,2013,11,4,1,4,8.75,2.352,1,0
0,2,1,3,7.218,3,0.7,2011,3,1,1,4,-76.66666666666667,2.406,1,0
1,0,1,3,44.848,8,0.8,2013,4,2,0,5,-150.00000000000003,5.606,1,0
0,2,1,12,5.184,1,0.2,2014,8,3,3,5,35.0,5.184,1,0
0,1,1,14,83.92,5,0.2,2011,10,4,3,7,-16.25,16.784,1,0
2,1,1,2,227.88,6,0.0,2014,8,3,3,6,30.000000000000004,37.98,0,1
2,0,1,1,1503.25,5,0.0,2011,6,2,2,5,33.0,300.65,0,1
1,1,1,2,9.21,3,0.0,2013,1,1,4,2,25.0,3.0700000000000003,0,0
0,0,2,13,479.96,4,0.0,2011,12,4,5,6,28.000000000000004,119.99,0,1
2,3,1,1,270.72,3,0.0,2011,4,2,0,5,28.999999999999993,90.24000000000001,0,1
1,1,1,8,8.04,5,0.2,2012,5,2,1,2,36.25000000000001,1.6079999999999999,1,0
1,1,1,12,16.056,3,0.2,2014,7,3,0,7,36.24999999999999,5.352,1,0
2,3,0,4,514.165,5,0.15,2014,6,2,2,3,-5.882352941176471,102.833,1,1
0,0,1,14,152.688,2,0.2,2012,12,4,0,4,-17.5,76.344,1,0
0,1,1,3,3.592,1,0.2,2013,4,2,1,4,31.25,3.592,1,0
1,0,2,0,63.88,4,0.0,2013,12,4,5,4,38.99999999999999,15.97,0,0
0,0,0,5,107.772,2,0.3,2011,5,2,5,2,-27.142857142857142,53.886,1,0
0,2,2,6,959.984,2,0.2,2014,11,4,1,4,32.5,479.992,1,1
0,1,1,3,19.242,3,0.7,2011,11,4,2,4,-70.0,6.414000000000001,1,0
0,0,2,13,159.984,2,0.2,2012,12,4,3,5,7.5,79.992,1,0
0,3,0,9,86.26,2,0.0,2014,2,1,0,5,34.0,43.13,0,0
2,3,0,16,99.592,1,0.2,2011,4,2,4,4,2.5,99.592,1,0
1,0,1,3,10.68,2,0.0,2011,1,1,3,3,47.0,5.34,0,0
0,0,2,6,1999.96,5,0.2,2011,10,4,4,4,31.249999999999993,399.992,1,1
0,1,1,12,77.52,2,0.0,2011,9,3,3,4,49.00000000000001,38.76,0,0
2,3,2,11,11.56,1,0.2,2013,12,4,0,2,32.5,11.56,1,0
1,2,2,0,191.472,6,0.2,2013,1,1,5,2,21.25,31.912000000000003,1,0
0,2,1,2,13.12,5,0.2,2012,11,4,6,4,11.25,2.6239999999999997,1,0
2,1,0,9,516.488,7,0.2,2014,11,4,5,4,-2.5,73.784,1,1
0,2,1,12,15.552,3,0.2,2014,9,3,5,4,35.0,5.184,1,0
0,0,2,13,1979.928,9,0.2,2013,5,2,4,5,7.5,219.99200000000002,1,1
0,0,2,13,278.4,3,0.0,2013,9,3,4,1,29.000000000000004,92.8,0,1
0,1,1,14,577.584,6,0.2,2012,11,4,5,4,7.500000000000001,96.264,1,1
